subdomain,is_reachable
*.060.gob.gob.es,False
*.acelerapyme.go.gob.es,False
*.acelerapyme.gob.gob.es,False
*.administraciondejusticia.gob.gob.es,False
*.administracionelectronica.go.gob.es,False
*.administracionelectronica.gob.gob.es,False
*.administracionespublicas.gob.gob.es,False
*.aea.gob.gob.es,False
*.aei.gob.gob.es,False
*.aemps.go.gob.es,False
*.aemps.gob.gob.es,False
*.aepsad.gob.gob.es,False
*.aesan.gob.gob.es,False
*.agenciatributaria.gob.gob.es,False
*.agenda2030.gob.gob.es,False
*.apc.go.gob.es,False
*.apc.gob.gob.es,False
*.boveda.go.gob.es,False
*.boveda.gob.gob.es,False
*.capacitacion.mineco.go.gob.es,False
*.capacitacion.mineco.gob.gob.es,False
*.capacitacionespana.go.gob.es,False
*.capacitacionespana.gob.gob.es,False
*.capn.go.gob.es,False
*.capn.gob.gob.es,False
*.carpetaciudadana.gob.gob.es,False
*.cartaderechosdigitales.go.gob.es,False
*.cartaderechosdigitales.gob.gob.es,False
*.charterofdigitalrights.go.gob.es,False
*.charterofdigitalrights.gob.gob.es,False
*.chguadalquivir.go.gob.es,False
*.chj.gob.gob.es,False
*.chjucar.gob.gob.es,False
*.ciencia.gob.gob.es,False
*.citco.gob.gob.es,False
*.cjc.go.gob.es,False
*.cjc.gob.gob.es,False
*.clasespasivas.gob.gob.es,False
*.clave.go.gob.es,False
*.clave.gob.gob.es,False
*.cne.gob.gob.es,False
*.cnjuego.gob.gob.es,False
*.cnmc.gob.gob.es,False
*.comercio.go.gob.es,False
*.comercio.gob.gob.es,False
*.conectemos.mineco.go.gob.es,False
*.conectemos.mineco.gob.gob.es,False
*.consejodetransparencia.go.gob.es,False
*.consejodetransparencia.gob.gob.es,False
*.consumo.gob.gob.es,False
*.contralapobrezainfantil.gob.gob.es,False
*.correo.gob.gob.es,False
*.csd.go.gob.es,False
*.csd.gob.gob.es,False
*.cteaje.gob.gob.es,False
*.cultura.go.gob.es,False
*.cultura.gob.gob.es,False
*.culturaydeporte.go.gob.es,False
*.culturaydeporte.gob.gob.es,False
*.defensa.go.gob.es,False
*.defensa.gob.gob.es,False
*.delegaciondegobierno.gob.gob.es,False
*.delegaciondelgobierno.gob.gob.es,False
*.dgojuego.gob.gob.es,False
*.dgt.go.gob.es,False
*.dgt.gob.gob.es,False
*.digitaltoolkitpyme.go.gob.es,False
*.digitaltoolkitpyme.gob.gob.es,False
*.dire.go.gob.es,False
*.dire.gob.gob.es,False
*.economia.go.gob.es,False
*.economia.gob.gob.es,False
*.educacion.gob.gob.es,False
*.educacionyfp.gob.gob.es,False
*.emm.go.gob.es,False
*.emm.gob.gob.es,False
*.empleate.go.gob.es,False
*.empleate.gob.gob.es,False
*.empleo.gob.gob.es,False
*.empleoyseguridadsocial.gob.gob.es,False
*.emshi.gob.gob.es,False
*.energia.go.gob.es,False
*.energia.gob.gob.es,False
*.espanaglobal.go.gob.es,False
*.exteriores.go.gob.es,False
*.exteriores.gob.gob.es,False
*.extranet.presidencia.go.gob.es,False
*.extranet.presidencia.gob.gob.es,False
*.face.go.gob.es,False
*.face.gob.gob.es,False
*.faceb2b.go.gob.es,False
*.faceb2b.gob.gob.es,False
*.fega.go.gob.es,False
*.fega.gob.gob.es,False
*.fogasa.empleo.gob.gob.es,False
*.fomento.go.gob.es,False
*.fomento.gob.gob.es,False
*.funciona.go.gob.es,False
*.funciona.gob.gob.es,False
*.hacienda.go.gob.es,False
*.hacienda.gob.gob.es,False
*.icac.gob.gob.es,False
*.idae.go.gob.es,False
*.idae.gob.gob.es,False
