subdomain,is_reachable
0-chelem.bvdep.com.jabega.uma.es,False
31congreso.ingegraf.uma.es,True
6city.lcc.uma.es,True
6gsandbox.uma.es,True
FiltroExt1.sci.uma.es,False
FiltroExt2.sci.uma.es,False
FiltroInt1.sci.uma.es,False
FiltroInt2.sci.uma.es,False
MSA1.sci.uma.es,False
MSA2.sci.uma.es,False
MTAMXext1.sci.uma.es,False
MTAMXext2.sci.uma.es,False
MTAMXint1.sci.uma.es,False
MTAMXint2.sci.uma.es,False
MTAbulk1.sci.uma.es,False
MTAbulk2.sci.uma.es,False
MTAext1.sci.uma.es,False
MTAext2.sci.uma.es,False
MTAgmail1.sci.uma.es,False
MTAgmail2.sci.uma.es,False
MTAruma1.sci.uma.es,False
MTAruma2.sci.uma.es,False
MXext1.sci.uma.es,False
MXext2.sci.uma.es,False
MXgmail1.sci.uma.es,False
MXgmail2.sci.uma.es,False
MXruma1.sci.uma.es,False
MXruma2.sci.uma.es,False
Policy1.sci.uma.es,False
Policy2.sci.uma.es,False
abacoz.sci.uma.es,False
ac.uma.es,False
aca2013.uma.es,True
acelerometria.uma.es,False
aceuw.uma.es,True
actividadfisica.uma.es,False
adabyron.reservas.aulas.uma.es,True
adas-des.uma.es,False
adas-pre.uma.es,False
adas.uma.es,False
admasigdoclcc.uma.es,True
admin.ceca.uma.es,False
admin.impulsotfe.uma.es,False
adminappgeotecnologias.uma.es,True
adminceca.uma.es,True
adsorbentes-uma.uma.es,False
aedt.uma.es,True
aepia.lcc.uma.es,False
aerohidro.uma.es,True
agora.edu.uma.es,False
agroexpert.uma.es,False
agt.cie.uma.es,True
ahwebdev.uma.es,True
ajsr.ctima.uma.es,True
ajuridica.uma.es,True
alb-des.cti.uma.es,False
albireo.lcc.uma.es,False
albumina.cti.uma.es,True
albumina.uma.es,True
alcor.lcc.uma.es,False
alef.iaia.lcc.uma.es,True
alfa.otri.uma.es,True
alfa.uma.es,True
alfil.uma.es,True
alfilpre.uma.es,True
alfresco.eis.uma.es,True
algara.uma.es,True
almura.adabyron.uma.es,False
alojamiento.uma.es,False
alojamientopre.uma.es,True
alojamientosturisticos.uma.es,False
altair.lcc.uma.es,False
alu.uma.es,False
alumni.informatica.uma.es,False
alumni.uma.es,True
amuses.uma.es,True
analisis-geografia.uma.es,True
analisisgeografico.uma.es,True
anamat.cie.uma.es,True
ananas.isa.uma.es,False
ants2022.uma.es,True
api.geotecnologias.uma.es,True
api.greenpin.uma.es,True
apigwcl-new.seal.uma.es,False
apolo.uma.es,True
applink.uma.es,True
apsmed.uma.es,True
aranea.sci.uma.es,False
arcacomunis.uma.es,True
